id,class,mass,fall,year,lat,long,Elevation
5005.0,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,
5009.0,OC,,Fell,1937.0,-32.33333,-64.86667,
5011.0,LL4,3700.0,Fell,1798.0,25.366670000000003,82.91667,
30443.0,LL6,25000.0,Fell,2004.0,32.25,-8.15,
5018.0,L6,19000.0,Fell,2001.0,32.86667,10.8,
5021.0,H6,1770.5,Fell,1938.0,39.08333,-89.15,
5023.0,H6,3880.0,Fell,1943.0,-26.16667,28.41667,
5024.0,LL6,45000.0,Fell,2002.0,30.0,-7.0,
5026.0,LL6,2840.0,Fell,1949.0,45.95,-67.55,
48975.0,L6,270.0,Fell,2008.0,-31.91,-58.32833,
5028.0,Eucrite-mmict,18000.0,Fell,1924.0,11.65,-3.65,
5029.0,L6,1440.0,Fell,1811.0,41.68333,-3.8,
47355.0,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,
5032.0,H,13.9,Fell,1859.0,42.53333,-73.83333,
5034.0,L5,2000.0,Fell,1859.0,43.21667,-0.23333,
5035.0,LL3.8,1100.0,Fell,1921.0,33.88333,35.5,
5037.0,L6,18.0,Fell,1877.0,20.883329999999997,74.83333,
36591.0,LL6,678.0,Fell,2002.0,26.508329999999997,73.11528,
5039.0,L6,100.0,Fell,1893.0,20.83333,71.46667,
5040.0,LL3-6,1047.0,Fell,1940.0,22.683329999999998,90.65,
5041.0,Howardite,2500.0,Fell,1905.0,22.08333,86.9,
5042.0,Eucrite-pmict,4000.0,Fell,1827.0,53.1,23.2,
5043.0,H4,1900.0,Fell,1887.0,50.13333,27.16667,
5045.0,Diogenite,25000.0,Fell,1999.0,12.45,-0.08333,
5051.0,H5,488.1,Fell,1984.0,-33.15639,115.67638999999998,
5056.0,H4,560.0,Fell,1923.0,13.766670000000001,5.3,
5059.0,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,
5060.0,LL3.15,1039.0,Fell,1895.0,25.383329999999997,82.6,
5063.0,H6,1850.0,Fell,1796.0,49.78333,30.16667,
5064.0,L/LL4,330000.0,Fell,1899.0,60.4,25.8,
5065.0,L5,705.0,Fell,1941.0,40.91667,-78.08333,
5068.0,L5,2381.0,Fell,1906.0,36.83333,-97.33333,
5071.0,L6,5100.0,Fell,1909.0,31.83333,-98.83333,
5072.0,H6,470.0,Fell,1833.0,49.36667,16.633329999999997,
5076.0,LL6,67.8,Fell,1938.0,40.48,-89.00417,
5090.0,LL3.9,7500.0,Fell,1977.0,33.83333,115.83333,
5093.0,L6,56.0,Fell,1804.0,23.0,-102.0,
5097.0,"Iron, IAB-MG",8800.0,Fell,1962.0,12.5,0.7,
5098.0,"Iron, IIAB",256000.0,Fell,1916.0,44.55,131.63333,
5110.0,LL6,1676.0,Fell,1808.0,44.86667,10.05,
5111.0,L6,8600.0,Fell,1894.0,21.95,78.03333,
5112.0,CM2,1342.0,Fell,1930.0,54.23333,52.48333,
5113.0,L5,7000.0,Fell,1852.0,48.15,24.28333,
5114.0,H5,500.0,Fell,1812.0,55.46666999999999,35.86667,
5117.0,L4,614.0,Fell,1823.0,51.33333,33.88333,
57168.0,L6,190.0,Fell,2003.0,17.71067,-11.3715,
57167.0,L6,3599.0,Fell,2011.0,17.17493,-11.341330000000001,
5121.0,L3,5460.0,Fell,1969.0,54.566669999999995,-6.33333,
5128.0,L,762.0,Fell,1886.0,40.5,-80.08333,
5133.0,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3,
5134.0,H5,1500.0,Fell,1956.0,50.666940000000004,8.18361,
5135.0,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,
5140.0,Eucrite-pmict,219.0,Fell,1933.0,52.13333,59.316669999999995,
5156.0,L6,303000.0,Fell,1960.0,53.9,-112.88333,
30448.0,CV3,5300.0,Fell,2001.0,39.77978,64.60035,
5163.0,Iron?,2250.0,Fell,1964.0,,,
48653.0,Eucrite,324.0,Fell,2007.0,-31.35,129.19,
5165.0,Howardite,357.0,Fell,1942.0,10.01667,9.58333,
5169.0,H5,120000.0,Fell,1919.0,5.0,48.0,
5175.0,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,
5177.0,L6,25000.0,Fell,1946.0,40.2,29.23333,
5178.0,L6,5000.0,Fell,1863.0,46.45,25.78333,
5181.0,Aubrite,1500.0,Fell,1852.0,26.78333,82.83333,
5183.0,H6,29000.0,Fell,1861.0,27.08333,84.08333,
48654.0,H4,41000.0,Fell,2008.0,52.996,-109.84817,
5185.0,L/LL6,25000.0,Fell,1870.0,37.98333,-1.16667,
5186.0,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,
5187.0,OC,212.0,Fell,1919.0,43.83889,20.33333,
45976.0,H/L4,478.0,Fell,2007.0,3.405,-76.51,
5200.0,Stone-uncl,2400.0,Fell,1916.0,11.75,122.33333,
5249.0,L5,23680.0,Fell,1991.0,-7.03333,-40.16667,
5250.0,L6,4000.0,Fell,1964.0,39.8,26.6,
5251.0,H4,945.0,Fell,1861.0,41.25,1.66667,
5252.0,H5,34000.0,Fell,1866.0,43.38333,-5.15,
5253.0,H6,1400.0,Fell,1973.0,38.470279999999995,-105.24139,
5260.0,H6,2300.0,Fell,1846.0,37.26667,-89.58333,
5264.0,H6,750.0,Fell,1934.0,-30.883329999999997,-64.55,
45817.0,H4-5,342.0,Fell,2007.0,-16.66444,-69.04389,
5265.0,LL6,8.0,Fell,1902.0,38.5,27.0,
